Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,ES,AECA,b,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,ES,AEWB,c,AEWB,,,,,itex,-105.5905475,40.06141031,3458.147,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:37:50.6 UTC-06:00,2023-09-29 10:37:50.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,13.764,Global CS,
A,ES,AEWB,b,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,ES,AECB,c,AECB,,,,,itex,-105.5905589,40.06142321,3458.229,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:38:23.4 UTC-06:00,2023-09-29 10:38:23.4 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,15.5,Global CS,
A,ES,AECB,b,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,ES,AEWC,c,AEWC,,,,,itex,-105.590443,40.06145172,3455.895,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:39:00.6 UTC-06:00,2023-09-29 10:39:00.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,16.405,Global CS,
A,ES,AEWC,b,AEWC1,,,,,itex,-105.5904594,40.06145184,3456.278,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:39:05.8 UTC-06:00,2023-09-29 10:39:05.8 UTC-06:00,1,1.4,,,,-105.590461,40.06130576,3459.777,16.306,Global CS,
A,ES,AECC,c,AECC,,,,,itex,-105.5904571,40.06146555,3455.996,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:39:28.2 UTC-06:00,2023-09-29 10:39:28.2 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,17.851,Global CS,
A,ES,AECC,b,AECC1,,,,,itex,-105.5904722,40.06146825,3456.202,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:39:32.8 UTC-06:00,2023-09-29 10:39:32.8 UTC-06:00,1,1.4,,,,-105.590461,40.06130576,3459.777,18.152,Global CS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,CO,ACO,a,ACO1,,,,,plot,-105.5906203,40.06119196,3462.018,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 10:40:24.2 UTC-06:00,2023-09-29 10:40:24.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,19.028,Global CS,
A,CO,ACO,b,ACO2,,,,,plot,-105.590681,40.06128114,3461.69,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:40:36.6 UTC-06:00,2023-09-29 10:40:36.6 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,19.36,Global CS,
