Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
S,CO,SCOS5,b,SCOS5_a1,,,,,subplot,-105.5744135,40.04932407,3381.979,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 14:00:33.4 UTC-06:00,2023-09-29 14:00:33.4 UTC-06:00,1,1.7,,,,-105.57459,40.04908057,3373.377,32.709,Global CS,
S,CO,SCOS5,c,SCOS5_a2,,,,,subplot,-105.5744145,40.04931458,3381.813,Global,0.022,0.022,0.05,0.031,1.934,m,FIX,2023-09-29 14:00:36.4 UTC-06:00,2023-09-29 14:00:36.4 UTC-06:00,1,2.2,,,,-105.57459,40.04908057,3373.377,31.748,Global CS,
S,CO,SCOS5,d,SCOS5_a3,,,,,subplot,-105.5744099,40.04931587,3381.746,Global,0.01,0.01,0.018,0.014,1.934,m,FIX,2023-09-29 14:00:40.0 UTC-06:00,2023-09-29 14:00:40.0 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,32.033,Global CS,
S,CO,SCOS2,a,SCOS2_a,,,,,subplot,-105.5744183,40.0492873,3380.646,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 14:01:01.0 UTC-06:00,2023-09-29 14:01:01.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,28.758,Global CS,
S,CO,SCOS2,b,SCOS2_a1,,,,,subplot,-105.5744117,40.04928851,3380.577,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:01:05.0 UTC-06:00,2023-09-29 14:01:05.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,29.138,Global CS,
S,CO,SCOS2,c,SCOS2_a2,,,,,subplot,-105.5744151,40.04927966,3380.235,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 14:01:08.2 UTC-06:00,2023-09-29 14:01:08.2 UTC-06:00,1,1.7,,,,-105.57459,40.04908057,3373.377,28.099,Global CS,
S,CO,SCOS2,d,SCOS2_a3,,,,,subplot,-105.5744102,40.04928012,3380.142,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:01:10.8 UTC-06:00,2023-09-29 14:01:10.8 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,28.335,Global CS,
S,CO,SCOS6,a,SCOS6_a,,,,,subplot,-105.5744044,40.04929446,3380.783,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:01:27.8 UTC-06:00,2023-09-29 14:01:27.8 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,30.052,Global CS,
S,CO,SCOS6,b,SCOS6_a1,,,,,subplot,-105.5743974,40.0492945,3380.72,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:01:31.0 UTC-06:00,2023-09-29 14:01:31.0 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,30.353,Global CS,
S,CO,SCOS6,c,SCOS6_a2,,,,,subplot,-105.5744019,40.04928614,3380.39,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:01:34.4 UTC-06:00,2023-09-29 14:01:34.4 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,29.321,Global CS,
